country,population,gdppc,country_code
Albania,2866376,13601.3033805754,AL
Armenia,2951776,12714.9581875586,AM
Austria,8840521,55687.1892771302,AT
Azerbaijan,9939771,14209.6494059309,AZ
Belgium,11427054,51245.9962234656,BE
Bulgaria,7025037,22181.496811059,BG
Belarus,9483499,18885.2354999668,BY
Switzerland,8514329,68479.4402109781,CH
Cyprus,1189265,38822.4919713012,CY
Czech Republic,10629928,39452.7678936873,CZ
Germany,82905782,53659.9892931257,DE
Denmark,5793636,56102.8219431727,DK
Estonia,1321977,35308.0862153163,EE
Spain,46797754,40328.9379296749,ES
Finland,5515525,48191.2325303143,FI
France,66965912,45561.0017682227,FR
United Kingdom,66460344,46309.8023832552,UK
Georgia,3726549,14257.0816639076,GE
Greece,10732882,29711.9219354672,EL
Croatia,4087843,27557.537629951,HR
Hungary,9775564,31072.9044219454,HU
Ireland,4867316,83470.6239893367,IE
Iceland,352721,56157.5138509506,IS
Italy,60421760,42198.2432366598,IT
Lithuania,2801543,35389.9774872093,LT
Luxembourg,607950,114109.972454391,LU
Latvia,1927174,29942.0073818529,LV
Moldova,2706049,12373.0381119958,MD
Montenegro,622227,20628.5619066,ME
North Macedonia,2082958,15943.9521871786,MK
Malta,484630,43064.0188476449,MT
Netherlands,17231624,56454.9252056674,NL
Norway,5311916,63332.7998900687,NO
Poland,37974750,31765.6828625755,PL
Portugal,10283822,34013.0711043603,PT
Romania,19472545,28565.4642103002,RO
Serbia,6982604,17355.1284748374,RS
Russian Federation,144477860,26667.7254437796,RU
Sweden,10175214,53146.4610964786,SE
Slovenia,2073894,38022.049816862,SI
Slovak Republic,5446771,32067.3593949964,SK
San Marino,33785,59349.9712733261,SM
Turkey,82319724,28298.8658406785,TR
Ukraine,44622518,12338.0028039485,UA
